Gene  Rule 
g1    ( g17 or g53 or g179 or g251 or g252 or g271 or g284 or g375 or g448 or g451 or g501 or g576 or g581 or g633 or g677 or g871 or g929 or g934 or g991 or g1007 or g1022 or g1067 or g1070 or g1134 or g1161 or g1198 or g1282 )
g2    ( g24 or g34 or g50 or g82 or g94 or g187 or g274 or g295 or g410 or g424 or g435 or g505 or g536 or g559 or g630 or g809 or g832 or g867 or g902 or g910 or g1010 or g1130 or g1155 or g1204 or g1224 or g1227 or g1248 or g1251 or g1281 or g1327 or g1342 or g1354 or g1363 or g1387 or g1388 or g1396 or g1454 or g1463 or g1480 or g1490 )
g3    ( g1006 or g1185 or g1276 )
g4    ( g126 or g856 or g935 or g1102 or g1176 or g1325 )
g5    ( g54 or g137 or g147 or g153 or g209 or g370 or g538 or g581 or g601 or g610 or g626 or g639 or g696 or g775 or g787 or g874 or g892 or g946 or g1018 or g1040 or g1150 or g1188 or g1298 or g1347 or g1380 or g1385 or g1416 or g1434 or g1447 or g1449 or g1464 )
g6    ( g845 or g1040 or g1299 or g1308 or g1432 )
g7    ( g305 or g526 or g536 or g693 or g766 or g934 or g1058 or g1084 or g1144 or g1185 or g1400 or g1467 )
g8    ( g84 or g93 or g119 or g190 or g227 or g285 or g371 or g519 or g605 or g668 or g730 or g1049 or g1105 or g1156 or g1226 or g1256 or g1300 or g1482 or g1486 )
g9    ( g215 or g938 or g1105 or g1293 or g1305 or g1308 )
g10    ( g369 or g378 or g384 or g547 or g677 or g721 or g846 or g919 or g978 or g1189 or g1430 or g1455 or g1470 )
g11    ( g115 or g131 or g348 or g522 or g528 or g813 or g1098 or g1198 or g1263 or g1291 or g1344 or g1403 or g1420 or g1430 )
g12    ( g1180 or g1243 or g1418 )
g13    ( g462 or g657 or g802 or g867 or g970 or g1036 or g1113 or g1191 or g1411 )
g14    ( g16 or g65 or g238 or g294 or g368 or g537 or g753 or g766 or g781 or g921 or g1216 or g1415 )
g15    ( g234 or g241 or g587 )
g16    ( g70 or g1042 or g1382 )
g17    ( g19 or g106 or g108 or g154 or g188 or g208 or g211 or g308 or g408 or g472 or g507 or g584 or g611 or g619 or g682 or g686 or g702 or g711 or g724 or g733 or g742 or g759 or g819 or g824 or g838 or g875 or g876 or g926 or g1021 or g1067 or g1100 or g1120 or g1161 or g1182 or g1217 or g1218 or g1230 or g1301 or g1313 or g1359 or g1436 )
g18    ( g69 or g134 or g317 or g732 or g903 or g1025 or g1462 )
g19    ( g4 or g72 or g495 or g528 or g568 or g740 or g768 or g782 or g829 or g833 or g1165 or g1278 or g1314 )
g20    ( g184 or g496 or g598 or g703 or g1372 )
g21    ( g170 or g217 or g251 or g539 or g600 or g826 or g888 or g921 or g1175 or g1431 )
g22    ( g4 or g24 or g116 or g124 or g134 or g140 or g188 or g198 or g279 or g332 or g407 or g436 or g446 or g459 or g461 or g536 or g560 or g580 or g590 or g673 or g778 or g894 or g964 or g1051 or g1055 or g1059 or g1070 or g1176 or g1208 or g1209 or g1251 or g1305 or g1348 or g1370 or g1372 or g1389 or g1420 or g1440 or g1461 or g1497 )
g23    ( g27 or g70 or g122 or g268 or g690 or g859 or g1017 or g1051 or g1100 or g1204 )
g24    ( g368 or g499 or g892 or g943 )
g25    ( g121 or g182 or g408 or g410 or g518 or g538 or g685 or g823 or g1014 or g1214 or g1316 or g1342 or g1425 or g1430 or g1451 )
g26    ( g594 or g897 or g963 or g1214 )
g27    ( g151 or g278 or g314 or g337 or g577 or g713 or g808 or g874 or g986 or g1246 or g1327 )
g28    ( g6 or g63 or g65 or g107 or g110 or g159 or g233 or g265 or g299 or g361 or g377 or g382 or g410 or g564 or g633 or g644 or g703 or g820 or g1026 or g1067 or g1070 or g1080 or g1139 or g1141 or g1157 or g1167 or g1190 or g1207 or g1263 or g1323 or g1332 or g1335 or g1403 or g1489 )
g29    ( g149 or g407 or g471 or g769 or g1047 or g1127 or g1169 or g1235 or g1247 or g1354 )
g30    ( g60 or g84 or g238 or g281 or g797 or g985 or g988 or g1264 )
g31    ( g230 or g1281 or g1289 or g1418 )
g32    ( g372 or g1090 or g1181 or g1292 or g1367 or g1382 or g1439 )
g33    ( g6 or g140 or g176 or g182 or g738 or g817 or g1439 or g1464 )
g34    ( g1 or g132 or g191 or g255 or g264 or g321 or g474 or g587 or g631 or g638 or g658 or g679 or g872 or g894 or g920 or g928 or g933 or g935 or g963 or g999 or g1029 or g1047 or g1161 or g1213 or g1239 or g1267 or g1309 or g1338 or g1342 or g1350 or g1385 or g1386 or g1393 or g1414 or g1420 or g1433 or g1472 or g1491 )
